RoverRecord Artist,RoverRecord Bent Genre
"""Cats"" Original London Cast",Stage & Screen
"""The Phantom Of The Opera"" Original London Cast",Stage & Screen
$uicideboy$,Rap/Hip-hop
? & The Mysterians,SodaPop
"10,000 Maniacs",SodaPop
13th Floor Elevators,PsychPaisley
2Pac,Rap/Hip-hop
38 Special (2),BoogerJam
3rd Bass,Rap/Hip-hop
50 Cent,Rap/Hip-hop
86 (2),AtlantaVerse
A Few Good Men (5),AtlantaVerse
A Tribe Called Quest,Rap/Hip-hop
A.C. Bhaktivedanta Swami Prabhupada,International
A.S. Kang,SodaPop
ABBA,Super
Abbey Lincoln,Jazz
Abdul Halim Jaffer Khan,International
AC/DC,Metal
Ace (7),SodaPop
Acker Bilk,Jazz
Adam Ant,SodaPop
Adam's Housecat,AtlantaVerse
"Adolf Scherbaum, Barbara Schlick",Classical
"Adolf Scherbaum, Hamburger Barock-Ensemble",Classical
Adrian Belew,PsychPaisley
Adrianne Lenker,SingSong
Aerosmith,Metal
Aesop Rock,Rap/Hip-hop
Africando,International
Afrika Bambaataa & Soulsonic Force With Shango,Rap/Hip-hop
Agent 23,Childrens
Agnostic Front,Ska/Punk/Reggae
Agung Alit,International
Ahmad Jamal Trio,Jazz
Ahmed Shiba and His Ensemble,International
Air Power Band,International
Ajoy Chakrabarty,International
Akira Ifukube,Stage & Screen
Al Green,R&B
Al Hirt,Jazz
Al Jarreau,Vocal
Al Jolson,Vocal
Al Kooper Introduces Shuggie Otis,R&B
Al Martino,Vocal
Al Trace And His Orchestra,Jazz
Alabama Shakes,BoogerJam
Alan Mills,Childrens
Albert Collins,Blues
Albert King,Blues
Alejandro Escovedo,SingSong
Alex Chilton,PROTO
Alfonzo,R&B
Alfred Brendel,Classical
Ali Akbar Khan,International
Ali Farka Touré,International
Ali Farka Touré & Toumani Diabaté,International
Ali Farka Touré With Ry Cooder,International
Alice Cooper,Metal
Alicia Bridges,R&B
Alicia Keys,R&B
Alison Krauss,Billy
Alison Krauss & Union Station,Billy
Alison Moyet,SodaPop
Alkaline Trio,Ska/Punk/Reggae
Alkaline Trio / Hot Water Music,Ska/Punk/Reggae
Alla Rakha,International
Allen Ginsberg,Sound/Spoken/Comedy
Alton Stitcher,Blues
Amadou & Mariam,International
America (2),SodaPop
American Music Club,SodaPop
Amjad Ali Khan,International
Amos Milburn,Blues
Amos Milburn And His Aladdin Chickenshackers,Blues
Amy Winehouse,R&B
Amyl And The Sniffers,Ska/Punk/Reggae
Ananda Shankar,Jazz
Andre Williams (2) & The Sadies,Country
Andr�s Segovia,Classical
"Andr�s Segovia, Laurindo Almeida, Carlos Montoya, Manitas De Plata, Alirio Díaz, Narciso Yepes",Classical
Andrew Lloyd Webber & Tim Rice,Stage & Screen
Andy Dale Petty,Folk
Andy Gibb,SodaPop
Andy Griffith,Sound/Spoken/Comedy
Andy Russell,Vocal
Andy Shauf,SingSong
Andy Summers & Robert Fripp,PROTO
Angelique Kidjo,International
Animal Collective,Electronic
Anita O'Day,Jazz
Anita O'Day With The Oscar Peterson Quartet,Jazz
Annie Hayden,SodaPop
Annie Lennox,SodaPop
Anthrax,Metal
Antischism,Ska/Punk/Reggae
"Anton�n Dvo?�k - Bruno Walter, Columbia Symphony Orchestra",Classical
"Anton�n Dvo?�k / Bed?ich Smetana - Herbert Von Karajan, Berliner Philharmoniker",Classical
Anton�n Dvo?�k / Chicago Symphony Orchestra ∙ Carlo Maria Giulini,Classical
"Anton�n Dvo?�k / Max Bruch – London Symphony Orchestra, Janos Starker, Antal Dorati",Classical
Antonio Carlos Jobim,International
"Antonio Vivaldi - Baroque Festival Orchestra, Alexander Pervomansky, Alberto Lizzio",Classical
"Antonio Vivaldi - Heinz Holliger, I Musici",Classical
"Antonio Vivaldi - Roberto Michelucci, I Musici",Classical
Antonio Vivaldi - Severino Gazzelloni,Classical
"Antonio Vivaldi, I Musici, Salvatore Accardo, Heinz Holliger",Classical
Anup Jalota,International
Aretha Franklin,R&B
Arlo Guthrie,Folk
Arms Akimbo,AtlantaVerse
Art Blakey,Jazz
Art Blakey & The Jazz Messengers,Jazz
Art Blakey Quartet,Jazz
Art Blakey's Big Band,Jazz
Art Tatum,Jazz
"Arthur ""Big Boy"" Crudup",Blues
Artie Shaw And His Orchestra,Jazz
Arturo Benedetti Michelangeli - Claude Debussy,Classical
Arturo Romero (2),Jazz
Arturo Sandoval,International
"Asbury Brass Quintet, Adolph Herseth",Jazz
Asha Bhosle,International
"Asha Bhosle, R. D. Burman, Gulzar",International
Asha Puthli,Jazz
Asleep At The Wheel,BoogerJam
Astrud Gilberto,International
Asylum Street Spankers,Childrens
Ateez (2),International
Atlanta Rhythm Section,AtlantaVerse
"Audrey Hepburn, Rex Harrison",Stage & Screen
Aura Urziceanu,Jazz
Autosalvage,PsychPaisley
Ayalew Mesfin,International
Aztec Camera,SodaPop
B.B. King,Blues
Baaba Maal,International
Babatunde Olatunji,International
Babes In Toyland,Riot Grrrl Pluse Sic
Baby Washington,R&B
Bachman-Turner Overdrive,Mini Garage
Bad Brains,Ska/Punk/Reggae
Bad Bunny,International
Bad Company (3),SodaPop
Bad Manners,Ska/Punk/Reggae
Bad Religion,Ska/Punk/Reggae
Bad Wolves,Metal
Badfinger,BoogerJam
Bailes Brothers,Country
Bappi Lahiri,International
"Bappi Lahiri, Gulrez",International
Barbara Lewis,R&B
Bar-B-Q Killers,AtlantaVerse
Barenaked Ladies,Childrens
Barkat Ali Khan,International
Bar-Kays,R&B
"Barry Tuckwell, Sir Neville Marriner Conducting The Academy Of St. Martin-in-the-Fields",Classical
Barry White,R&B
Bauhaus,PROTO
beabadoobee,SingSong
Beach Bunny,SodaPop
Beastie Boys,Rap/Hip-hop
Beatie Wolfe & Brian Eno,PROTO
Beausoleil,International
"Beck, Bogert & Appice",BoogerJam
Bee Gees,Vocal
Been Stellar,Mini Garage
Begum Akhtar,International
Bembeya Jazz National,International
Ben E. King,R&B
Ben Folds,SodaPop
Ben Yost Singers And Orchestra,SodaPop
Berlin,SodaPop
Bernard Herrmann,Stage & Screen
Bert Kaempfert & His Orchestra,Classical
Bert Ralton's Havana Band,Jazz
Bertie Higgins,SodaPop
"Beryl Reid, Barbara Windsor, Una Stubbs, Nicky Henson, Tudor Davies (2), Peter Gale, Audrey Fahey, Mike Sammes, Mike Sammes Singers, Chris Walker & His Orchestra",Stage & Screen
Bessie Smith,Blues
Bette Midler,Vocal
Better Oblivion Community Center,SodaPop
Betty Boo,Rap/Hip-hop
Betty Davis,Riot Grrrl Pluse Sic
Bettye Swann,R&B
Bhai Tarlochan Singh Ragi,International
Bhi Bhiman,Folk
Bhoomi,International
Bhundu Boys,International
Bhupinder Singh,International
Big Bill Broonzy,Blues
"Big Bill Broonzy, Memphis Slim , And Sonny Boy Williamson",Blues
Big Brother & The Holding Company,BoogerJam
Big Freedia,Rap/Hip-hop
Big Joe Turner,Blues
Big Maybelle,Blues
Big Star,PROTO
Big Thief,SodaPop
Bikini Kill,Riot Grrrl Pluse Sic
Bill Anderson (2),Billy
Bill Cosby,Billy
Bill Farrell,Billy
Bill Haley And His Comets,Billy
Bill Haley And The Saddlemen,Billy
Bill Hayes,Billy
Bill Monroe & His Blue Grass Boys,Billy
Bill Rice,Billy
Bill Withers,Billy
Billie Eilish,Billy
Billie Holiday,Billy
Billie Jo Spears,Billy
Billy Bragg,Billy
Billy Bragg & Wilco,Billy
